2022-10-10T01:45:48.634552+0000 DEBUG 2013   starting
2022-10-10T01:45:48.638035+0000 DEBUG 2014   starting
2022-10-10T01:45:48.641862+0000 DEBUG 2015   starting
2022-10-10T01:45:48.645545+0000 DEBUG 2016   starting
2022-10-10T02:09:22.497998+0000 DEBUG 2016            ///////           80000
2022-10-10T02:09:28.843656+0000 DEBUG 2015            ///////           120000
2022-10-10T02:10:25.158738+0000 DEBUG 2013            ///////           160000
2022-10-10T02:10:32.879005+0000 DEBUG 2014            ///////           150000
2022-10-10T02:10:38.315883+0000 DEBUG 2017            ///////           90000
2022-10-10T02:10:41.626548+0000 DEBUG 2018            ///////           70000
2022-10-10T02:11:23.491388+0000 DEBUG 2015            ///////           130000
2022-10-10T02:11:57.011390+0000 DEBUG 2013            ///////           170000
2022-10-10T02:12:07.489345+0000 DEBUG 2016            ///////           90000
2022-10-10T02:12:09.211198+0000 DEBUG 2020            ///////           70000
2022-10-10T02:12:14.745480+0000 DEBUG 2014            ///////           160000
2022-10-10T02:12:40.622449+0000 DEBUG 2019            ///////           80000
2022-10-10T02:13:21.218368+0000 DEBUG 2015            ///////           140000
2022-10-10T02:13:21.366046+0000 DEBUG 2013            ///////           180000
2022-10-10T02:13:34.009633+0000 DEBUG 2017            ///////           100000
2022-10-10T02:14:03.034576+0000 DEBUG 2014            ///////           170000
2022-10-10T02:14:33.997617+0000 DEBUG 2018            ///////           80000
2022-10-10T02:14:56.793982+0000 DEBUG 2013            ///////           190000
2022-10-10T02:15:18.162798+0000 DEBUG 2015            ///////           150000
2022-10-10T02:15:26.483368+0000 DEBUG 2016            ///////           100000
2022-10-10T02:15:39.933726+0000 DEBUG 2014            ///////           180000
2022-10-10T02:16:05.826029+0000 DEBUG 2019            ///////           90000
2022-10-10T02:16:11.928556+0000 DEBUG 2020            ///////           80000
2022-10-10T02:16:21.792010+0000 DEBUG 2017            ///////           110000
2022-10-10T02:16:29.470898+0000 DEBUG 2013            ///////           200000
2022-10-10T02:17:11.584704+0000 DEBUG 2015            ///////           160000
2022-10-10T02:17:13.149561+0000 DEBUG 2014            ///////           190000
2022-10-10T02:17:58.922668+0000 DEBUG 2013            ///////           210000
2022-10-10T02:18:16.040420+0000 DEBUG 2018            ///////           90000
2022-10-10T02:18:49.827724+0000 DEBUG 2014            ///////           200000
2022-10-10T02:19:03.368722+0000 DEBUG 2017            ///////           120000
2022-10-10T02:19:03.911026+0000 DEBUG 2016            ///////           110000
2022-10-10T02:19:06.256752+0000 DEBUG 2015            ///////           170000
2022-10-10T02:19:26.379580+0000 DEBUG 2013            ///////           220000
2022-10-10T02:19:35.206490+0000 DEBUG 2019            ///////           100000
2022-10-10T02:20:08.445901+0000 DEBUG 2020            ///////           90000
2022-10-10T02:20:31.821196+0000 DEBUG 2014            ///////           210000
2022-10-10T02:21:04.416675+0000 DEBUG 2013            ///////           230000
2022-10-10T02:21:06.694380+0000 DEBUG 2015            ///////           180000
2022-10-10T02:21:45.157277+0000 DEBUG 2018            ///////           100000
2022-10-10T02:22:07.735378+0000 DEBUG 2014            ///////           220000
2022-10-10T02:22:10.387577+0000 DEBUG 2016            ///////           120000
2022-10-10T02:22:13.753878+0000 DEBUG 2017            ///////           130000
2022-10-10T02:22:38.544056+0000 DEBUG 2013            ///////           240000
2022-10-10T02:22:56.602004+0000 DEBUG 2019            ///////           110000
2022-10-10T02:23:02.893405+0000 DEBUG 2015            ///////           190000
2022-10-10T02:23:41.410321+0000 DEBUG 2014            ///////           230000
2022-10-10T02:24:01.398027+0000 DEBUG 2020            ///////           100000
2022-10-10T02:24:09.585358+0000 DEBUG 2013            ///////           250000
2022-10-10T02:25:01.372267+0000 DEBUG 2017            ///////           140000
2022-10-10T02:25:06.575739+0000 DEBUG 2015            ///////           200000
2022-10-10T02:25:16.341594+0000 DEBUG 2014            ///////           240000
2022-10-10T02:25:17.274442+0000 DEBUG 2016            ///////           130000
2022-10-10T02:25:29.024807+0000 DEBUG 2018            ///////           110000
2022-10-10T02:25:39.237504+0000 DEBUG 2013            ///////           260000
2022-10-10T02:26:05.290547+0000 DEBUG 2019            ///////           120000
2022-10-10T02:26:57.582279+0000 DEBUG 2014            ///////           250000
2022-10-10T02:27:04.581645+0000 DEBUG 2015            ///////           210000
2022-10-10T02:27:10.365497+0000 DEBUG 2013            ///////           270000
2022-10-10T02:27:49.885519+0000 DEBUG 2020            ///////           110000
2022-10-10T02:27:50.881486+0000 DEBUG 2017            ///////           150000
2022-10-10T02:28:09.976373+0000 DEBUG 2016            ///////           140000
2022-10-10T02:28:34.047278+0000 DEBUG 2014            ///////           260000
2022-10-10T02:28:40.438721+0000 DEBUG 2013            ///////           280000
2022-10-10T02:28:56.331086+0000 DEBUG 2018            ///////           120000
2022-10-10T02:29:05.127280+0000 DEBUG 2015            ///////           220000
2022-10-10T02:29:07.815784+0000 DEBUG 2019            ///////           130000
2022-10-10T02:30:11.472801+0000 DEBUG 2013            ///////           290000
2022-10-10T02:30:14.269447+0000 DEBUG 2014            ///////           270000
2022-10-10T02:30:27.644920+0000 DEBUG 2017            ///////           160000
2022-10-10T02:31:05.055484+0000 DEBUG 2015            ///////           230000
2022-10-10T02:31:19.627396+0000 DEBUG 2016            ///////           150000
2022-10-10T02:31:41.059712+0000 DEBUG 2013            ///////           300000
2022-10-10T02:31:50.381237+0000 DEBUG 2020            ///////           120000
2022-10-10T02:31:50.834126+0000 DEBUG 2014            ///////           280000
2022-10-10T02:32:23.428371+0000 DEBUG 2018            ///////           130000
2022-10-10T02:32:34.109841+0000 DEBUG 2019            ///////           140000
2022-10-10T02:32:58.465393+0000 DEBUG 2015            ///////           240000
2022-10-10T02:33:10.120933+0000 DEBUG 2017            ///////           170000
2022-10-10T02:33:16.370180+0000 DEBUG 2013            ///////           310000
2022-10-10T02:33:18.065251+0000 DEBUG 2014            ///////           290000
2022-10-10T02:34:10.157763+0000 DEBUG 2016            ///////           160000
2022-10-10T02:34:47.869457+0000 DEBUG 2013            ///////           320000
2022-10-10T02:34:52.280055+0000 DEBUG 2014            ///////           300000
2022-10-10T02:35:07.926574+0000 DEBUG 2015            ///////           250000
2022-10-10T02:35:28.367083+0000 DEBUG 2020            ///////           130000
2022-10-10T02:35:42.213678+0000 DEBUG 2019            ///////           150000
2022-10-10T02:36:00.387257+0000 DEBUG 2017            ///////           180000
2022-10-10T02:36:08.145602+0000 DEBUG 2018            ///////           140000
2022-10-10T02:36:17.481752+0000 DEBUG 2013            ///////           330000
2022-10-10T02:36:36.154182+0000 DEBUG 2014            ///////           310000
2022-10-10T02:37:00.841702+0000 DEBUG 2015            ///////           260000
2022-10-10T02:37:34.439541+0000 DEBUG 2016            ///////           170000
2022-10-10T02:37:55.844758+0000 DEBUG 2013            ///////           340000
2022-10-10T02:38:15.950213+0000 DEBUG 2014            ///////           320000
2022-10-10T02:38:35.449696+0000 DEBUG 2017            ///////           190000
2022-10-10T02:38:48.705682+0000 DEBUG 2019            ///////           160000
2022-10-10T02:38:56.450962+0000 DEBUG 2015            ///////           270000
2022-10-10T02:39:14.204468+0000 DEBUG 2020            ///////           140000
2022-10-10T02:39:26.530275+0000 DEBUG 2013            ///////           350000
2022-10-10T02:39:43.365381+0000 DEBUG 2018            ///////           150000
2022-10-10T02:39:59.311250+0000 DEBUG 2014            ///////           330000
2022-10-10T02:40:23.698507+0000 DEBUG 2016            ///////           180000
2022-10-10T02:41:00.712537+0000 DEBUG 2013            ///////           360000
2022-10-10T02:41:01.615381+0000 DEBUG 2015            ///////           280000
2022-10-10T02:41:12.293400+0000 DEBUG 2017            ///////           200000
2022-10-10T02:41:37.533725+0000 DEBUG 2014            ///////           340000
2022-10-10T02:42:19.841876+0000 DEBUG 2019            ///////           170000
2022-10-10T02:42:34.555778+0000 DEBUG 2013            ///////           370000
2022-10-10T02:42:36.823755+0000 DEBUG 2020            ///////           150000
2022-10-10T02:42:59.619569+0000 DEBUG 2015            ///////           290000
2022-10-10T02:43:06.403074+0000 DEBUG 2014            ///////           350000
2022-10-10T02:43:11.105986+0000 DEBUG 2018            ///////           160000
2022-10-10T02:43:27.442258+0000 DEBUG 2016            ///////           190000
2022-10-10T02:43:52.934609+0000 DEBUG 2017            ///////           210000
2022-10-10T02:44:02.270030+0000 DEBUG 2013            ///////           380000
2022-10-10T02:44:39.179880+0000 DEBUG 2014            ///////           360000
2022-10-10T02:44:57.159067+0000 DEBUG 2015            ///////           300000
2022-10-10T02:45:31.089659+0000 DEBUG 2019            ///////           180000
2022-10-10T02:45:31.733203+0000 DEBUG 2013            ///////           390000
2022-10-10T02:46:01.315420+0000 DEBUG 2020            ///////           160000
2022-10-10T02:46:17.762618+0000 DEBUG 2016            ///////           200000
2022-10-10T02:46:22.911150+0000 DEBUG 2014            ///////           370000
2022-10-10T02:46:28.365539+0000 DEBUG 2018            ///////           170000
2022-10-10T02:46:45.340308+0000 DEBUG 2017            ///////           220000
2022-10-10T02:46:52.249844+0000 DEBUG 2013            ///////           400000
2022-10-10T02:47:00.501161+0000 DEBUG 2015            ///////           310000
2022-10-10T02:48:01.668915+0000 DEBUG 2014            ///////           380000
2022-10-10T02:48:23.850539+0000 DEBUG 2013            ///////           410000
2022-10-10T02:48:46.227440+0000 DEBUG 2015            ///////           320000
2022-10-10T02:49:17.207972+0000 DEBUG 2019            ///////           190000
2022-10-10T02:49:18.420792+0000 DEBUG 2016            ///////           210000
2022-10-10T02:49:30.456138+0000 DEBUG 2020            ///////           170000
2022-10-10T02:49:35.317250+0000 DEBUG 2014            ///////           390000
2022-10-10T02:49:36.761383+0000 DEBUG 2017            ///////           230000
2022-10-10T02:49:56.280648+0000 DEBUG 2013            ///////           420000
2022-10-10T02:50:24.434976+0000 DEBUG 2018            ///////           180000
2022-10-10T02:51:03.640888+0000 DEBUG 2015            ///////           330000
2022-10-10T02:51:16.778880+0000 DEBUG 2014            ///////           400000
2022-10-10T02:51:32.672899+0000 DEBUG 2013            ///////           430000
2022-10-10T02:52:16.098047+0000 DEBUG 2019            ///////           200000
2022-10-10T02:52:27.269326+0000 DEBUG 2016            ///////           220000
2022-10-10T02:52:27.923033+0000 DEBUG 2017            ///////           240000
2022-10-10T02:52:58.530911+0000 DEBUG 2015            ///////           340000
2022-10-10T02:52:59.704295+0000 DEBUG 2014            ///////           410000
2022-10-10T02:53:00.314377+0000 DEBUG 2013            ///////           440000
2022-10-10T02:53:28.809921+0000 DEBUG 2020            ///////           180000
2022-10-10T02:53:51.710154+0000 DEBUG 2018            ///////           190000
2022-10-10T02:54:33.949214+0000 DEBUG 2013            ///////           450000
2022-10-10T02:54:36.150889+0000 DEBUG 2014            ///////           420000
2022-10-10T02:55:02.279636+0000 DEBUG 2015            ///////           350000
2022-10-10T02:55:15.517802+0000 DEBUG 2019            ///////           210000
2022-10-10T02:55:20.947673+0000 DEBUG 2017            ///////           250000
2022-10-10T02:55:41.222684+0000 DEBUG 2016            ///////           230000
2022-10-10T02:56:02.812541+0000 DEBUG 2013            ///////           460000
2022-10-10T02:56:19.460199+0000 DEBUG 2014            ///////           430000
2022-10-10T02:57:00.905338+0000 DEBUG 2015            ///////           360000
2022-10-10T02:57:15.190610+0000 DEBUG 2020            ///////           190000
2022-10-10T02:57:28.191433+0000 DEBUG 2018            ///////           200000
2022-10-10T02:57:31.516684+0000 DEBUG 2013            ///////           470000
